Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-07-27 00:00:00	2514.5	2682	2513.6	2663.1	145.41	374475.94	2575.27
2017-07-28 00:00:00	2664.6	2814.9	2657.4	2786.7	184.57	506195.37	2742.55
2017-07-29 00:00:00	2786.7	2794	2662.5	2717.3	143.15	389254.03	2719.15
2017-07-30 00:00:00	2717.3	2758.4	2595	2748.9	158.7	426358.22	2686.64
2017-07-31 00:00:00	2748.9	2882.9	2696	2854.1	128.44	357483.46	2783.2
2017-08-01 00:00:00	2854.1	2882.6	2613.2	2722.8	199.09	547886.37	2751.9
2017-08-02 00:00:00	2722.8	2757.1	2617.9	2702.4	105.91	286472.93	2704.98
2017-08-03 00:00:00	2700.6	2819	2700	2790.3	110.2	303279.9	2751.99
2017-08-04 00:00:00	2790.3	2874.8	2763.3	2860	128.57	364067.73	2831.62
2017-08-05 00:00:00	2860	3332.3	2857.9	3254.9	193.71	605182.87	3124.2
2017-08-06 00:00:00	3255	3307	3159	3228	113.44	367507.06	3239.7
2017-08-07 00:00:00	3228	3408.5	3195.5	3394.8	120.59	399715.36	3314.57
2017-08-08 00:00:00	3394.8	3481.9	3330	3414	181.06	618726.02	3417.24
2017-08-09 00:00:00	3414	3426.9	3236.2	3338.1	156.91	523573.82	3336.69
2017-08-10 00:00:00	3338.1	3446.4	3310	3403.9	133.54	453658.26	3397.26
2017-08-11 00:00:00	3404.9	3693.8	3380	3643.2	145.12	510335.14	3516.57
2017-08-12 00:00:00	3643.2	3915	3590.2	3866.2	251.98	952929.65	3781.76
2017-08-13 00:00:00	3866.2	4174.9	3834.3	4058.1	239.95	960372.04	4002.3
2017-08-14 00:00:00	4058.1	4329.7	3969.6	4320.9	242.34	1017624.1	4199.14
2017-08-15 00:00:00	4320.9	4363.6	3833.7	4151.9	377.06	1536464.85	4074.85
2017-08-16 00:00:00	4151.9	4369.9	3880	4345.1	180.47	743464.04	4119.63
2017-08-17 00:00:00	4345.1	4491	4170.3	4262.9	243.77	1059328.74	4345.6
2017-08-18 00:00:00	4262.9	4359.9	3955	4090.3	321.3	1339943.25	4170.37
2017-08-19 00:00:00	4090.3	4186.7	3907.2	4078.4	255.87	1035048.85	4045.2
2017-08-20 00:00:00	4079.5	4195.4	3992.3	4063.2	145.41	598019.02	4112.71
2017-08-21 00:00:00	4065.1	4093.5	3955.2	3997.1	187.01	752218.88	4022.29
2017-08-22 00:00:00	3999.9	4140	3739	4080.1	264.34	1042212.55	3942.74
2017-08-23 00:00:00	4080.1	4254.8	4048.1	4131.8	197.49	819059.7	4147.32
2017-08-24 00:00:00	4134.6	4377.6	4090.7	4325	146.75	618977.04	4217.99
2017-08-25 00:00:00	4322.2	4462	4260	4351	169.17	737107.15	4357.31
2017-08-26 00:00:00	4349.9	4364	4240.8	4341.1	113.66	488826.05	4300.89
2017-08-27 00:00:00	4340.2	4406.4	4305	4335.2	85.87	373163.56	4345.66
2017-08-28 00:00:00	4333.8	4387.8	4197.1	4385	101.05	434184.38	4296.8
2017-08-29 00:00:00	4385	4647.7	4336.3	4586.6	161.94	728010.52	4495.58
2017-08-30 00:00:00	4586.6	4642.5	4496	4568	105.88	484515.97	4576.29
2017-08-31 00:00:00	4568	4749.9	4567	4718.3	124.66	582387.56	4671.77
2017-09-01 00:00:00	4718.3	4912	4660.1	4912	183.48	878903.75	4790.21
2017-09-02 00:00:00	4907.7	4969.9	4436.7	4533.6	143.61	676603.24	4711.39
2017-09-03 00:00:00	4532.6	4699.9	4331.1	4598.1	223.76	1015734.35	4539.36
2017-09-04 00:00:00	4598.1	4607.4	4052.2	4204.3	401.54	1718249.28	4279.11
2017-09-05 00:00:00	4204.3	4448	3918	4413	374.04	1557058.18	4162.86
2017-09-06 00:00:00	4413	4599	4366.9	4593.5	108.36	489415.19	4516.68
2017-09-07 00:00:00	4591.7	4674.9	4524.7	4613.5	107.29	495125.69	4615.03
2017-09-08 00:00:00	4612.2	4686.4	4105.1	4304.9	419.44	1830494.51	4364.14
2017-09-09 00:00:00	4304.9	4385.7	4155.3	4315.5	220.63	943768.84	4277.65
2017-09-10 00:00:00	4315.5	4327.3	3975.1	4233.9	302.07	1254819.72	4154.12
2017-09-11 00:00:00	4233.9	4375.2	4122.8	4198.8	195.65	825550.98	4219.61
2017-09-12 00:00:00	4200.5	4369.9	4051.3	4149.2	251.96	1063793.07	4222.1
2017-09-13 00:00:00	4155.085	4160	3783.1	3849.7	230.19	899957.37	3909.68
2017-09-14 00:00:00	3854.1	3950.477	3259.9	3335.6	778.8	2757196.02	3540.32
2017-09-15 00:00:00	3622.8	3950.477	2970	3697.1	949.4	3206189.87	3377.07
2017-09-16 00:00:00	3698	3950.477	3511.1	3680.5	455.25	1674753.59	3678.75
2017-09-17 00:00:00	3679.6	3757.2	3469.8	3666.6	189.12	682872.85	3610.89
2017-09-18 00:00:00	3667.4	4102	3667.4	4084.1	360.41	1421767.11	3944.89
2017-09-19 00:00:00	4085	4111.3	3837.9	3892.2	312.53	1235468.61	3953.1
2017-09-20 00:00:00	3891.2	4043.6	3829.9	3872	278.95	1102193.57	3951.25
2017-09-21 00:00:00	3874.8	3904.8	3560	3597.8	599.49	2224379.09	3710.47
2017-09-22 00:00:00	3596.7	3739.8	3491	3602.3	746.04	2683759.86	3597.36
2017-09-23 00:00:00	3602.3	3863.835	3556.2	3778.8	310.92	1148949.29	3695.36
2017-09-24 00:00:00	3778.8	3783	3616.1	3659.5	457.14	1684859.24	3685.66
2017-09-25 00:00:00	3659.5	3969.9	3658.9	3930	294.52	1129016.54	3833.45
2017-09-26 00:00:00	3930	3983.8	3846.8	3881.5	261.79	1026598.04	3921.39
2017-09-27 00:00:00	3876.7	4228.3	3876.7	4209	319.31	1296300.9	4059.64
2017-09-28 00:00:00	4207.5	4270	4125.1	4190	268.29	1125783.63	4196.21
2017-09-29 00:00:00	4187	4244.3	4024.5	4168	281.64	1167179.52	4144.15
2017-09-30 00:00:00	4168.9	4394.2	4160	4367.5	198.11	856030.24	4321.05
2017-10-01 00:00:00	4367.5	4421.9	4252.9	4403.7	238.54	1033141.49	4331.13
2017-10-02 00:00:00	4403.7	4482	4359.7	4400.2	263.02	1162386.84	4419.32
2017-10-03 00:00:00	4399.3	4435.3	4212.6	4311.1	239.02	1029731.29	4308.22
2017-10-04 00:00:00	4311.1	4354	4176.8	4215.5	207.71	882989.52	4251.02
2017-10-05 00:00:00	4214.4	4364.5	4134.5	4312.1	203.2	867824.49	4270.82
2017-10-06 00:00:00	4312.1	4425.7	4294	4370	232.02	1012844.78	4365.29
2017-10-07 00:00:00	4371.6	4476.4	4314.7	4436.8	179.55	783127.87	4361.63
2017-10-08 00:00:00	4436.8	4628.4	4417.5	4611.8	245.9	1113035.24	4526.29
2017-10-09 00:00:00	4611.8	4876	4553.4	4782.2	293.43	1375501.03	4687.73
2017-10-10 00:00:00	4782.2	4939	4717	4776.9	331.03	1599944.06	4833.18
2017-10-11 00:00:00	4776.9	4879.9	4715	4824.9	214.89	1033013.41	4807.1
2017-10-12 00:00:00	4824.9	5444.9	4815.1	5440	374.77	1939370.43	5174.82
2017-10-13 00:00:00	5439.2	5805.9	5380	5636.8	263.89	1483107.3	5620.12
2017-10-14 00:00:00	5636.8	5857	5565	5834.5	270.25	1541609.94	5704.4
2017-10-15 00:00:00	5834.5	5876.1	5451	5713.4	386.2	2170849.72	5621.08
2017-10-16 00:00:00	5712.1	5808.5	5574.9	5764.4	301.25	1710821.27	5679.05
2017-10-17 00:00:00	5768.1	5821.4	5511	5597.4	308.04	1729961.03	5616.03
2017-10-18 00:00:00	5597.4	5597.7	5142	5567.6	253.44	1365133.99	5386.47
2017-10-19 00:00:00	5571.9	5735	5506.1	5693.9	226.92	1281993.95	5649.54
2017-10-20 00:00:00	5694	6081.1	5603.5	5984.8	295.72	1737588.61	5875.69
2017-10-21 00:00:00	5985	6185.8	5932.8	6007	307.47	1866218.47	6069.65
2017-10-22 00:00:00	6005.5	6069.6	5718.3	5982.7	379.42	2236343.57	5894.13
2017-10-23 00:00:00	5982.7	6051	5657.8	5907	422.25	2473288.58	5857.46
2017-10-24 00:00:00	5907	5907	5457.6	5509.5	431.32	2441204.47	5659.82
2017-10-25 00:00:00	5510	5745.2	5366	5724.1	299.72	1659011.94	5535.19
2017-10-26 00:00:00	5724.1	5966	5676.3	5902.9	232.89	1353340.17	5811.19
2017-10-27 00:00:00	5904.5	6011.8	5687.9	5759	139.9	815236.16	5827.26
2017-10-28 00:00:00	5762.8	5863.9	5519.7	5720.2	128.85	738084.22	5728.42
2017-10-29 00:00:00	5717.8	6339	5662.7	6153	209.89	1253258.61	5971.01
2017-10-30 00:00:00	6153	6238.9	6010	6128.2	155.76	955145.22	6132.06
2017-10-31 00:00:00	6129.9	6479.9	6082.5	6452.3	162.93	1024695.69	6289.27
2017-11-01 00:00:00	6455	6666	6346	6666	229.01	1489829.05	6505.41
2017-11-02 00:00:00	6666	7334	6666	7018.9	294.24	2048137.92	6960.88
2017-11-03 00:00:00	7017.2	7447.5	6920.2	7132.3	260.17	1881682.1	7232.62
2017-11-04 00:00:00	7126.1	7528.6	6933.7	7370	208.2	1506342.73	7235.19
2017-11-05 00:00:00	7372.8	7598	7272.1	7374.2	192.8	1436912.29	7452.89
2017-11-06 00:00:00	7370.3	7439	6915.4	6954.8	273.27	1965694.92	7193.26
2017-11-07 00:00:00	6956.5	7219.1	6907.576	7104	176.01	1245492.38	7076.24
2017-11-08 00:00:00	7102.1	7777	6977.5	7449.7	291.4	2148929.05	7374.62
